,POA_CODE_2016,T_SOLSE_NWNAA_T,A15_24_SOLSE_NWNAA_T,A35_44_SOLSE_NWNAA_T,A65_74_SOLSE_NWNAA_T,Counted_home_Census_Night_Tot,P_SOL_SE_NW_NA_Total,suburbs
259,POA2330,57,7,10,0,19299,50,"Ravensworth, Gowrie, Glenridding, Howick, Warkworth, Glendon Brook, Scotts Flat, Hunterview, Putty, Dunolly, Gouldsville, Milbrodale, Long Point, Goorangoola, Mitchells Flat, Redbournberry, Whittingham, Big Ridge, Doyles Creek, Mirannie, Glendon, Hebden, Wollemi, Darlington, Sedgefield, Mount Thorley, Bowmans Creek, Mount Olive, Maison Dieu, Appletree Flat, Camberwell, Bridgman, Singleton, Combo, Middle Falbrook, Westbrook, Mount Royal, Obanvale, Reedy Creek, Jerrys Plains, Big Yengo, Lemington, Fern Gully, Garland Valley, Fordwich, Rixs Creek, Hambledon Hill, Howes Valley, St Clair, Dyrring, Clydesdale, Wattle Ponds, Dural, Roughit, Falbrook, Wylies Flat, Bulga, Mcdougalls Hill, Broke, Greenlands, Glennies Creek, Singleton Heights, Carrowbrook"
260,POA2333,31,3,9,3,12992,26,"Baerami Creek, Mccullys Gap, Liddell, Edderton, Sandy Hollow, Castle Rock, Muscle Creek, Gungal, Kayuga, Bengalla, Baerami, Manobalai, Muswellbrook, Wybong"
261,POA2334,0,0,0,0,2690,6,Greta
262,POA2335,8,0,0,0,5895,6,"Leconfield, Elderslie, Stanhope, North Rothbury, Lower Belford, East Branxton, Dalwood, Lambs Valley, Belford, Branxton"
263,POA2336,3,0,0,0,2459,0,"Upper Rouchel, Rouchel, Dartbrook, Upper Dartbrook, Aberdeen, Rouchel Brook, Davis Creek, Rossgole"
264,POA2337,60,5,19,3,7487,49,"Stewarts Brook, Owens Gap, Moonan Flat, Ellerston, Satur, Wingen, Moonan Brook, Moobi, Glenrock, Segenhoe, Scone, Glenbawn, Tomalla, Gundy, Belltrees, Murulla, Bunnan, Kars Springs, Parkville, Middle Brook, Pages Creek, Woolooma, Omadale, Waverly, Brawboy, Dry Creek"
265,POA2338,0,0,0,0,1341,3,"Timor, Ardglen, Pages River, Murrurundi, Green Creek, Blandford, Crawney, Sandy Creek, Scotts Creek"
266,POA2339,0,0,0,0,638,0,"Warrah Creek, Cattle Creek, Braefield, Little Jacks Creek, Willow Tree, Macdonalds Creek, Warrah, Parraweena, Big Jacks Creek, Chilcotts Creek"
267,POA2340,333,82,22,10,46101,87,"Loomberah, Daruka, Somerton, Hillvue, Moore Creek, Garoo, Hanging Rock, Appleby, Westdale, Gowrie, Goonoo Goonoo, South Tamworth, Nundle, Calala, Carroll, Bithramere, Woolomin, Tamworth South, Gidley, Keepit, Barry, Oxley Vale, Duncans Creek, Weabonga, Warral, Ogunbil, North Tamworth, Kingswood, Dungowan, Wallamore, Bective, Hallsville, Piallamore, Taminda, West Tamworth, Nemingha, Timbumburi, Bowling Alley Point, East Tamworth, Tamworth"
268,POA2341,0,0,0,0,1475,3,Werris Creek
269,POA2342,0,0,0,0,436,0,"Piallaway, Currabubula"
270,POA2343,0,0,0,0,4639,3,"Coomoo Coomoo, Warrah Ridge, Spring Ridge, Quirindi, Pine Ridge, Blackville, Colly Blue, Yarraman, Wallabadah, Caroona, Borambil, Bundella, Windy, Yannergee, Quipolly"
271,POA2344,3,0,0,0,723,0,"Duri, Winton"
272,POA2345,0,0,0,0,682,0,"Garthowen, Attunga"
273,POA2346,3,0,0,0,2990,0,"Wongo Creek, Borah Creek, Manilla, Halls Creek, Klori, Namoi River, Upper Manilla, Wimborne, New Mexico, Rushes Creek, Warrabah"
274,POA2347,4,0,0,0,1807,6,"Thirldene, Woodsreef, Cobbadah, Banoon, Red Hill, Barraba, Gundamulda, Gulf Creek, Mayvale, Upper Horton, Ironbark, Lindesay, Longarm"
275,POA2350,225,71,29,5,23462,173,"Hillgrove, Tilbuster, Dangarsleigh, Lyndhurst, Castle Doyle, Duval, Wongwibinda, Abington, Dumaresq, Aberfoyle, Saumarez, East Armidale, Boorolong, Wollomombi, Kellys Plains, Jeogla, Enmore, Wards Mistake, Armidale, Saumarez Ponds, Invergowrie, Thalgarrah, West Armidale, Puddledock, Donald Creek, Argyle, Metz"
276,POA2351,8,4,3,0,912,6,University Of New England
277,POA2352,0,0,0,0,2585,3,"Limbri, Mulla Creek, Kootingal, Tintinhull"
278,POA2353,0,0,0,0,1063,0,Moonbi
279,POA2354,0,0,0,0,3372,3,"Woolbrook, Niangala, Kentucky, Walcha, Nowendoc, Wollun, Yarrowitch, Walcha Road, Kentucky South"
280,POA2355,0,0,0,0,616,0,"Watsons Creek, Retreat, Bendemeer"
281,POA2357,11,0,0,3,3842,6,"Coonabarabran, Ulamambri, Gowang, Wattle Springs, Purlewaugh, Box Ridge, Dandry, Rocky Glen, Tannabar, Bugaldie, Bomera"
282,POA2358,3,0,0,0,3529,4,"Gostwyck, Arding, Yarrowyck, Enmore, Rocky River, Torryburn, Balala, Salisbury Plains, Mihi, Kingstown, Uralla"
283,POA2359,0,0,0,0,694,0,"Bakers Creek, Bundarra, Aberdeen, Camerons Creek"
284,POA2360,49,8,8,0,13613,60,"Wandera, Copeton, Mount Russell, Little Plain, Auburn Vale, Rob Roy, Cherry Tree Hill, Stanborough, Sapphire, Swanbrook, Inverell, Bukkulla, Howell, Spring Mountain, Gilgai, Nullamanna, Brodies Plains, Long Plain, Woodstock, Wallangra, Oakwood, Kings Plains, Newstead, Paradise, Elsmore, Gum Flat, Graman"
